
 ____________________________________________________________________________________________
 Temperature: T =    473.00000000000000      K
 Chemical potential: mu =   -750.44611807831780      eV
 Composition: x =   0.31250000000559530     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  8     94        6           -67062.34545      -61058.77650    0.806790E-05    0.134465E-05
  8     95       24           -67062.40391      -61058.83497    0.135447E-03    0.564364E-05
  8     96       48           -67062.45068      -61058.88174    0.853399E-03    0.177791E-04
  8     97       12           -67062.47861      -61058.90966    0.423262E-03    0.352718E-04
  9      1       16           -67812.76296      -61058.74789    0.106638E-04    0.666488E-06
  9      2       96           -67812.80679      -61058.79173    0.187566E-03    0.195381E-05
  9      3      192           -67812.77905      -61058.76398    0.189898E-03    0.989052E-06
  9      4      192           -67812.76004      -61058.74498    0.119142E-03    0.620534E-06
  9      5      192           -67812.79110      -61058.77603    0.255225E-03    0.132930E-05
  9      6      192           -67812.77669      -61058.76163    0.179250E-03    0.933596E-06
  9      7      192           -67812.78688      -61058.77182    0.230162E-03    0.119876E-05
  9      8      192           -67812.80827      -61058.79320    0.388927E-03    0.202566E-05
  9      9       96           -67812.81566      -61058.80059    0.233125E-03    0.242838E-05
  9     10       64           -67812.80977      -61058.79471    0.134509E-03    0.210170E-05
  9     11      192           -67812.79968      -61058.78461    0.315023E-03    0.164074E-05
  9     12       32           -67812.75844      -61058.74337    0.190890E-04    0.596530E-06
  9     13       96           -67812.76132      -61058.74626    0.614626E-04    0.640235E-06
  9     14      192           -67812.80434      -61058.78927    0.353178E-03    0.183947E-05
  9     15       96           -67812.81421      -61058.79914    0.224977E-03    0.234351E-05
  9     16       96           -67812.82611      -61058.81105    0.301290E-03    0.313844E-05
  9     17       96           -67812.75873      -61058.74367    0.576800E-04    0.600833E-06
  9     18       96           -67812.75730      -61058.74224    0.556983E-04    0.580191E-06
  9     19       96           -67812.77566      -61058.76060    0.873931E-04    0.910344E-06
  9     20       96           -67812.76941      -61058.75435    0.749675E-04    0.780912E-06
  9     21      192           -67812.79488      -61058.77981    0.280033E-03    0.145851E-05
  9     22      192           -67812.77850      -61058.76343    0.187357E-03    0.975820E-06
  9     23      192           -67812.78810      -61058.77304    0.237144E-03    0.123512E-05
  9     24      192           -67812.78696      -61058.77190    0.230592E-03    0.120100E-05
  9     25       48           -67812.77802      -61058.76296    0.462978E-04    0.964538E-06
  9     26       48           -67812.79165      -61058.77658    0.646730E-04    0.134735E-05
  9     27      192           -67812.81861      -61058.80355    0.501282E-03    0.261084E-05
  9     28      192           -67812.83925      -61058.82419    0.831865E-03    0.433263E-05
  9     29      192           -67812.83586      -61058.82080    0.765403E-03    0.398647E-05
  9     30       96           -67812.84881      -61058.83375    0.525812E-03    0.547721E-05
  9     31      192           -67812.84179      -61058.82673    0.885244E-03    0.461065E-05
  9     32      192           -67812.83873      -61058.82367    0.821300E-03    0.427760E-05
  9     33      192           -67812.81791      -61058.80284    0.492698E-03    0.256614E-05
  9     34       96           -67812.75800      -61058.74293    0.566506E-04    0.590111E-06
  9     35       96           -67812.77649      -61058.76143    0.891909E-04    0.929072E-06
  9     36      192           -67812.79496      -61058.77990    0.280638E-03    0.146166E-05
  9     37       96           -67812.78896      -61058.77390    0.121103E-03    0.126149E-05
  9     38      192           -67812.82654      -61058.81148    0.609001E-03    0.317188E-05
  9     39      192           -67812.80576      -61058.79070    0.365744E-03    0.190492E-05
  9     40       96           -67812.80616      -61058.79110    0.184662E-03    0.192356E-05
  9     41      192           -67812.82791      -61058.81285    0.629726E-03    0.327982E-05
  9     42       96           -67812.81007      -61058.79500    0.203248E-03    0.211717E-05
  9     43       96           -67812.84600      -61058.83094    0.490808E-03    0.511258E-05
