
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.43977067318497      eV
 Composition: x =   0.24999999999485709     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  7     60      192           -66311.96400      -61058.44049    0.877518E-03    0.457041E-05
  7     61       96           -66311.96270      -61058.43919    0.432195E-03    0.450203E-05
  7     62       16           -66311.93216      -61058.40865    0.505363E-04    0.315852E-05
  7     63       96           -66311.99363      -61058.47011    0.618763E-03    0.644545E-05
  7     64      192           -66312.02416      -61058.50064    0.176366E-02    0.918571E-05
  7     65      192           -66312.00195      -61058.47843    0.136298E-02    0.709887E-05
  7     66      192           -66312.02133      -61058.49782    0.170685E-02    0.888987E-05
  7     67      192           -66312.01008      -61058.48656    0.149782E-02    0.780113E-05
  7     68       64           -66311.99630      -61058.47279    0.425530E-03    0.664890E-05
  7     69       96           -66312.02607      -61058.50256    0.901654E-03    0.939223E-05
  7     70      192           -66312.01215      -61058.48863    0.153425E-02    0.799089E-05
  7     71      192           -66312.02303      -61058.49951    0.174074E-02    0.906636E-05
  7     72       96           -66311.98848      -61058.46497    0.582908E-03    0.607196E-05
  7     73      192           -66312.02080      -61058.49729    0.169635E-02    0.883516E-05
  7     74       96           -66311.98403      -61058.46051    0.553538E-03    0.576603E-05
  7     75       96           -66312.03621      -61058.51270    0.101427E-02    0.105653E-04
  7     76      192           -66311.98906      -61058.46554    0.117362E-02    0.611261E-05
  7     77       96           -66311.99918      -61058.47566    0.659926E-03    0.687423E-05
  7     78       96           -66311.95201      -61058.42849    0.381737E-03    0.397643E-05
  7     79       96           -66311.97882      -61058.45531    0.521094E-03    0.542806E-05
  7     80       48           -66311.97449      -61058.45097    0.247761E-03    0.516169E-05
  7     81       32           -66312.00074      -61058.47723    0.224007E-03    0.700021E-05
  7     82       16           -66312.07070      -61058.54718    0.252234E-03    0.157646E-04
  8      1       48           -67062.37149      -61058.34461    0.721116E-04    0.150232E-05
  8      2       96           -67062.33935      -61058.31248    0.993303E-04    0.103469E-05
  8      3      192           -67062.38655      -61058.35967    0.343545E-03    0.178930E-05
  8      4      192           -67062.36876      -61058.34188    0.279448E-03    0.145546E-05
  8      5      192           -67062.39867      -61058.37179    0.395413E-03    0.205944E-05
  8      6      192           -67062.39225      -61058.36537    0.367025E-03    0.191159E-05
  8      7       96           -67062.35957      -61058.33269    0.125593E-03    0.130826E-05
  8      8      192           -67062.33768      -61058.31080    0.194843E-03    0.101481E-05
  8      9      192           -67062.35671      -61058.32984    0.243003E-03    0.126564E-05
  8     10       96           -67062.36931      -61058.34243    0.140619E-03    0.146478E-05
  8     11      192           -67062.37592      -61058.34905    0.303684E-03    0.158169E-05
  8     12      192           -67062.37400      -61058.34713    0.296992E-03    0.154683E-05
  8     13       48           -67062.32089      -61058.29401    0.400869E-04    0.835144E-06
  8     14      192           -67062.34967      -61058.32279    0.223933E-03    0.116632E-05
  8     15      192           -67062.34013      -61058.31325    0.200462E-03    0.104407E-05
  8     16      192           -67062.35628      -61058.32940    0.241777E-03    0.125926E-05
  8     17      192           -67062.36970      -61058.34282    0.282520E-03    0.147146E-05
  8     18      192           -67062.36911      -61058.34223    0.280595E-03    0.146143E-05
  8     19       96           -67062.36918      -61058.34231    0.140417E-03    0.146267E-05
  8     20       96           -67062.38028      -61058.35340    0.159715E-03    0.166369E-05
  8     21       96           -67062.35428      -61058.32741    0.118122E-03    0.123044E-05
  8     22      192           -67062.36855      -61058.34167    0.278765E-03    0.145190E-05
  8     23      192           -67062.39009      -61058.36321    0.357944E-03    0.186429E-05
  8     24       96           -67062.37760      -61058.35072    0.154820E-03    0.161271E-05
  8     25       48           -67062.40669      -61058.37982    0.108501E-03    0.226045E-05
  8     26       96           -67062.38834      -61058.36146    0.175370E-03    0.182677E-05
  8     27       12           -67062.33386      -61058.30698    0.116498E-04    0.970817E-06
  8     28       96           -67062.36664      -61058.33976    0.136337E-03    0.142017E-05
  8     29       96           -67062.36557      -61058.33869    0.134645E-03    0.140255E-05
  8     30       96           -67062.38265      -61058.35577    0.164162E-03    0.171003E-05
  8     31      192           -67062.37600      -61058.34912    0.303955E-03    0.158310E-05
  8     32      192           -67062.40881      -61058.38193    0.444789E-03    0.231661E-05
  8     33      192           -67062.39069      -61058.36381    0.360449E-03    0.187734E-05
  8     34      192           -67062.39482      -61058.36794    0.378140E-03    0.196948E-05
  8     35      192           -67062.39888      -61058.37200    0.396383E-03    0.206449E-05
  8     36       48           -67062.38652      -61058.35964    0.858505E-04    0.178855E-05
  8     37       48           -67062.41005      -61058.38318    0.112816E-03    0.235032E-05
  8     38      192           -67062.33684      -61058.30997    0.192962E-03    0.100501E-05
  8     39      192           -67062.34865      -61058.32178    0.221308E-03    0.115265E-05
  8     40      192           -67062.35818      -61058.33131    0.247184E-03    0.128742E-05
  8     41       24           -67062.32830      -61058.30142    0.218430E-04    0.910125E-06
  8     42      192           -67062.35732      -61058.33045    0.244727E-03    0.127462E-05
  8     43       96           -67062.36696      -61058.34008    0.136836E-03    0.142537E-05
  8     44       96           -67062.37934      -61058.35247    0.157987E-03    0.164570E-05
  8     45       48           -67062.35793      -61058.33106    0.616171E-04    0.128369E-05
  8     46       96           -67062.36611      -61058.33923    0.135493E-03    0.141138E-05
  8     47      192           -67062.37410      -61058.34722    0.297327E-03    0.154858E-05
  8     48      192           -67062.38632      -61058.35945    0.342638E-03    0.178457E-05
  8     49      192           -67062.36835      -61058.34148    0.278141E-03    0.144865E-05
  8     50       48           -67062.36430      -61058.33743    0.663452E-04    0.138219E-05
  8     51       96           -67062.35851      -61058.33163    0.124056E-03    0.129225E-05
  8     52      192           -67062.41745      -61058.39057    0.491686E-03    0.256087E-05
  8     53      192           -67062.39766      -61058.37078    0.390815E-03    0.203549E-05
  8     54      192           -67062.42900      -61058.40212    0.562209E-03    0.292817E-05
  8     55       48           -67062.40622      -61058.37935    0.107912E-03    0.224818E-05
  8     56      192           -67062.41988      -61058.39300    0.505755E-03    0.263414E-05
  8     57      192           -67062.41906      -61058.39218    0.500988E-03    0.260931E-05
  8     58       96           -67062.42897      -61058.40209    0.281019E-03    0.292729E-05
  8     59      192           -67062.42367      -61058.39680    0.528544E-03    0.275283E-05
