   x           300.0          873.0         1273.0         1673.0      Infinity
  -654.100  0.683318E+00  0.892568E+00  0.929246E+00  0.948506E+00  0.100999E+01
  -654.000  0.686428E+00  0.894739E+00  0.930592E+00  0.949319E+00  0.100861E+01
  -653.900  0.688243E+00  0.895302E+00  0.930342E+00  0.948550E+00  0.100574E+01
  -653.800  0.688555E+00  0.893844E+00  0.928045E+00  0.945734E+00  0.100088E+01
  -653.700  0.687235E+00  0.890081E+00  0.923397E+00  0.940553E+00  0.993674E+00
  -653.600  0.684247E+00  0.883888E+00  0.916253E+00  0.932855E+00  0.983951E+00
  -653.500  0.679651E+00  0.875294E+00  0.906641E+00  0.922667E+00  0.971730E+00
  -653.400  0.673602E+00  0.864492E+00  0.894755E+00  0.910182E+00  0.957213E+00
  -653.300  0.666349E+00  0.851813E+00  0.880941E+00  0.895755E+00  0.940768E+00
  -653.200  0.658214E+00  0.837714E+00  0.865673E+00  0.879867E+00  0.922901E+00
  -653.100  0.649587E+00  0.822744E+00  0.849522E+00  0.863100E+00  0.904222E+00
  -653.000  0.640908E+00  0.807515E+00  0.833125E+00  0.846101E+00  0.885403E+00
  -652.900  0.632651E+00  0.792673E+00  0.817147E+00  0.829547E+00  0.867141E+00
  -652.800  0.625314E+00  0.778866E+00  0.802255E+00  0.814110E+00  0.850124E+00
  -652.700  0.619413E+00  0.766722E+00  0.789087E+00  0.800434E+00  0.834997E+00
  -652.600  0.615472E+00  0.756834E+00  0.778240E+00  0.789114E+00  0.822346E+00
  -652.500  0.614030E+00  0.749751E+00  0.770255E+00  0.780685E+00  0.812681E+00
  -652.400  0.615639E+00  0.745975E+00  0.765616E+00  0.775623E+00  0.806436E+00
  -652.300  0.620871E+00  0.745968E+00  0.764758E+00  0.774345E+00  0.803976E+00
  -652.200  0.630321E+00  0.750161E+00  0.768074E+00  0.777226E+00  0.805605E+00
  -652.100  0.644612E+00  0.758964E+00  0.775931E+00  0.784607E+00  0.811591E+00
  -652.000  0.664392E+00  0.772780E+00  0.788681E+00  0.796816E+00  0.822177E+00
  -651.900  0.690325E+00  0.792014E+00  0.806678E+00  0.814178E+00  0.837601E+00
  -651.800  0.723084E+00  0.817074E+00  0.830280E+00  0.837026E+00  0.858115E+00
  -651.700  0.763329E+00  0.848379E+00  0.859856E+00  0.865703E+00  0.883985E+00
  -651.600  0.811687E+00  0.886342E+00  0.895780E+00  0.900562E+00  0.915499E+00
  -651.500  0.868722E+00  0.931365E+00  0.938420E+00  0.941954E+00  0.952960E+00
  -651.400  0.934910E+00  0.983815E+00  0.988125E+00  0.990218E+00  0.996675E+00
  -651.300  0.101061E+01  0.104401E+01  0.104520E+01  0.104566E+01  0.104693E+01
  -651.200  0.109605E+01  0.111218E+01  0.110989E+01  0.110851E+01  0.110399E+01
  -651.100  0.119130E+01  0.118848E+01  0.118234E+01  0.117895E+01  0.116803E+01
  -651.000  0.129624E+01  0.127292E+01  0.126261E+01  0.125702E+01  0.123916E+01
  -650.900  0.141062E+01  0.136539E+01  0.135062E+01  0.134268E+01  0.131738E+01
  -650.800  0.153397E+01  0.146563E+01  0.144613E+01  0.143571E+01  0.140256E+01
  -650.700  0.166567E+01  0.157321E+01  0.154878E+01  0.153576E+01  0.149441E+01
  -650.600  0.180496E+01  0.168757E+01  0.165805E+01  0.164235E+01  0.159253E+01
  -650.500  0.195089E+01  0.180799E+01  0.177324E+01  0.175480E+01  0.169632E+01
  -650.400  0.210238E+01  0.193359E+01  0.189355E+01  0.187232E+01  0.180506E+01
  -650.300  0.225819E+01  0.206338E+01  0.201801E+01  0.199398E+01  0.191790E+01
  -650.200  0.241697E+01  0.219623E+01  0.214555E+01  0.211873E+01  0.203385E+01
  -650.100  0.257720E+01  0.233092E+01  0.227499E+01  0.224542E+01  0.215186E+01
